trans_id,CUSTOMERACCID,type,operation,TransactionType,Debit,Credit,amount,balance,bankID,BranchID,Channel,TransactionDate
T00733170,1001,Debit,Cash Withdrawal,1,2240,0,2240,22026.9,1,151,5,1/1/2019 14:29
T00730220,1002,Debit,Cash Withdrawal,1,600,0,600,17459.7,1,278,5,1/1/2019 12:51
T00801150,1003,Debit,Cash Withdrawal,1,2400,0,2400,103486.4,1,169,5,1/1/2019 10:00
T00801631,1004,Debit,Cash Withdrawal,1,360,0,360,31725.6,1,233,5,1/1/2019 10:42
T00804173,1005,Debit,Cash Withdrawal,1,2200,0,2200,16872,1,137,5,1/1/2019 10:52
T00803417,1006,Debit,Cash Withdrawal,1,2400,0,2400,24423.3,1,298,5,1/1/2019 16:31
T00799770,1007,Debit,Cash Withdrawal,1,3240,0,3240,26677.1,1,334,5,1/1/2019 16:42
T01044491,1008,Debit,Cash Withdrawal,1,2280,0,2280,28564.5,1,101,5,1/1/2019 8:46
T00651337,1009,Debit,Cash Withdrawal,1,840,0,840,41238.6,1,243,5,1/1/2019 10:25
T00654840,1010,Debit,Cash Withdrawal,1,2300,0,2300,27699.7,1,73,5,1/1/2019 9:49
T00695190,1011,Debit,Cash Withdrawal,1,700,0,700,23870,1,277,5,1/1/2019 16:34
T00692240,1012,Debit,Cash Withdrawal,1,1680,0,1680,26485.6,1,49,5,1/1/2019 11:41
T02343727,1013,Debit,Cash Withdrawal,1,9443,0,9443,58369.8,1,95,5,1/1/2019 15:55
T02349961,1014,Debit,Cash Withdrawal,1,7800,0,7800,83671.9,1,147,5,1/1/2019 13:06
T02349959,1015,Debit,Cash Withdrawal,1,5700,0,5700,91471.9,1,147,5,1/1/2019 11:17
T02308003,1016,Debit,Credit Card Withdrawal,,3900,0,3900,46069.8,1,236,5,1/1/2019 11:06
T02356985,1017,Debit,Cash Withdrawal,1,23700,0,23700,16177.2,1,218,5,1/1/2019 10:32
T02347088,1018,Credit,Credit in Cash,,0,48633,48633,61733,1,75,5,1/1/2019 12:55
T02715877,1019,Debit,Cash Withdrawal,1,13200,0,13200,38510.7,1,147,5,1/1/2019 11:07
T02715843,1020,Debit,Cash Withdrawal,1,4800,0,4800,33710.7,1,147,5,1/1/2019 9:48
T00918225,1021,Debit,Cash Withdrawal,1,1360,0,1360,34042.4,1,12,5,1/1/2019 16:14
T00917563,1022,Debit,Cash Withdrawal,1,1200,0,1200,41732,1,144,5,1/1/2019 14:26
T00917921,1023,Debit,Cash Withdrawal,1,880,0,880,27552.2,1,191,5,1/1/2019 10:00
T00916971,1024,Debit,Cash Withdrawal,1,8100,0,8100,29603.2,1,152,5,1/1/2019 16:22
T00918860,1025,Debit,Cash Withdrawal,1,900,0,900,21607.8,1,130,5,1/1/2019 9:46
T01065734,1026,Debit,Cash Withdrawal,1,630,0,630,21963.9,1,203,5,1/1/2019 8:10
T01064966,1027,Debit,Cash Withdrawal,1,6300,0,6300,57392.8,1,184,5,1/1/2019 14:42
T01065419,1028,Debit,Cash Withdrawal,1,640,0,640,16463.9,1,47,5,1/1/2019 10:37
T01067149,1029,Debit,Cash Withdrawal,1,6900,0,6900,64215.3,1,209,5,1/1/2019 15:00
T01067722,1030,Credit,Credit in Cash,,0,600,600,26446.5,1,274,5,1/1/2019 11:17
T01063493,1031,Debit,Cash Withdrawal,1,2100,0,2100,10882,1,329,5,1/1/2019 16:20
T01779260,1032,Debit,Cash Withdrawal,1,7500,0,7500,5870.9,1,160,5,1/1/2019 13:51
T00044799,1033,Debit,Cash Withdrawal,1,1250,0,1250,97394.5,1,223,5,1/1/2019 13:03
T00046086,1034,Debit,Cash Withdrawal,1,8800,0,8800,19408.3,1,298,5,1/1/2019 15:01
T00051285,1035,Debit,Cash Withdrawal,1,1680,0,1680,36069.5,1,264,5,1/1/2019 10:43
T00049836,1036,Credit,Credit in Cash,,0,5585,5585,41085,1,141,5,1/1/2019 11:34
T00028234,1037,Debit,Cash Withdrawal,1,2300,0,2300,30406.8,1,138,5,1/1/2019 8:01
T00032470,1038,Debit,Cash Withdrawal,1,780,0,780,18529,1,178,5,1/1/2019 15:32
T00029617,1039,Debit,Cash Withdrawal,1,4500,0,4500,61349.6,1,21,5,1/1/2019 11:16
T00037357,1040,Debit,Cash Withdrawal,1,20663,0,20663,64149.6,1,235,5,1/1/2019 14:21
T00038581,1041,Debit,Cash Withdrawal,1,2700,0,2700,92728.3,1,169,5,1/1/2019 12:45
T00041656,1042,Debit,Cash Withdrawal,1,1680,0,1680,51187.8,1,315,5,1/1/2019 14:20
T00499187,1043,Credit,Credit in Cash,,0,10285,10285,34307.1,1,191,5,1/1/2019 12:05
T00557525,1044,Credit,Credit in Cash,,0,20438,20438,63631.4,1,155,5,1/1/2019 12:58
T00641724,1045,Debit,Cash Withdrawal,1,7500,0,7500,73020,1,256,5,1/1/2019 8:57
T00641556,1046,Credit,Credit in Cash,,0,41777,41777,80520,1,256,5,1/1/2019 8:25
T00642808,1047,Debit,Credit Card Withdrawal,,2300,0,2300,57969.4,1,340,5,1/1/2019 12:46
T00644791,1048,Debit,Cash Withdrawal,1,2760,0,2760,16930.9,1,130,5,1/1/2019 10:40
T00641436,1049,Debit,Cash Withdrawal,1,19800,0,19800,55220,1,124,5,1/1/2019 8:40
T01781840,1050,Debit,Cash Withdrawal,1,16400,0,16400,22648.2,1,341,5,1/1/2019 8:27
T01781686,1051,Debit,Cash Withdrawal,1,2200,0,2200,39048.2,1,341,5,1/1/2019 12:30
T01853194,1052,Debit,Cash Withdrawal,1,15000,0,15000,49028.4,1,335,5,1/1/2019 12:08
T01781619,1053,Debit,Cash Withdrawal,1,300,0,300,22348.2,1,341,5,1/1/2019 10:50
T00452285,1054,Debit,Cash Withdrawal,1,1700,0,1700,53435.9,1,150,5,1/1/2019 16:49
T00453955,1055,Debit,Cash Withdrawal,1,2080,0,2080,25587.3,1,179,5,1/1/2019 11:46
T00475642,1056,Debit,Cash Withdrawal,1,1800,0,1800,40193.4,1,157,5,1/1/2019 8:40
T00472300,1057,Debit,Cash Withdrawal,1,1000,0,1000,35469,1,330,5,1/1/2019 11:54
T00476219,1058,Debit,Cash Withdrawal,1,3240,0,3240,38702.4,1,164,5,1/1/2019 11:53
T00473580,1059,Debit,Cash Withdrawal,1,2700,0,2700,39609.4,1,135,5,1/1/2019 9:37
T00472765,1060,Debit,Cash Withdrawal,1,480,0,480,13160.7,1,23,5,1/1/2019 16:39
T00475640,1061,Debit,Cash Withdrawal,1,2200,0,2200,41993.4,1,157,5,1/1/2019 13:38
T00473411,1062,Debit,Cash Withdrawal,1,9200,0,9200,33195.5,1,249,5,1/1/2019 8:37
T00475349,1063,Debit,Cash Withdrawal,1,1680,0,1680,24704.3,1,229,5,1/1/2019 16:13
T00476003,1064,Debit,Cash Withdrawal,1,2040,0,2040,28391,1,7,5,1/1/2019 8:09
T01107882,1065,Debit,Cash Withdrawal,1,1600,0,1600,29439.1,1,329,5,1/1/2019 13:02
T01106444,1066,Debit,Cash Withdrawal,1,2600,0,2600,44667.5,1,216,5,1/1/2019 11:18
T01108207,1067,Debit,Cash Withdrawal,1,2280,0,2280,78435.9,1,41,5,1/1/2019 15:03
